INDEX,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
33,0,2.7,-1.02,-.53,-44,.174,-60,72,.99519,3.18,.4,15.2,-1,7, 
34,4,6.4,2.21,.56,40.4,.055,27,-166,1.04577,1.77,-3.12,9.1,1,7,2
35,6,8.3,-2.46,.27,13.2,.036,31, ,.99408,1.95,.02,13,1,7,4
36,4,8,-.01,-1.1,44.8,-.35,17,129,1.03564,3.2, ,16.6,0,9,2
38,3,7.4,.36,.06,33.8,-.365,-135,39,.99615,4.05,.48,16,-1,8,1
40,4,5.7,.25,.27,10.8,.05,58,-243,.95643,3.1,-.21,9.8,0,6,3
41,0,22.2,.34,.49, ,-.073,56,348,.99967,4.08,.66,6.5,-1,14,1
42,0,-3.8,-.28,-1.2,16.2,.048,44,147,.9972,3.3,.52,2.1,0,6, 
43,3,7.9,.38,1.45,-8,-.24,21,138,.99796,3.52,-.01,15.9,0,9,1
44,4,7.9,-.56,-.72,58.8,.92,127,318,.99904,3.05, ,9.8,1,8,1
45,5,14.8,1.17,-.09,1.5,.027,-166, ,.99,3.3,.33,12.5,0,8,2
46,0,-2.9,1.035,-1.11,6,.073,-207,54,1.03291,3.37, ,9.9,1,10, 
48,4,28.9,-.51,.49,59.6,.055,-20,188,.99066, ,.91,11,0,8,2
49,0,6.9,.3,.29,1.3, ,24,189,1.02393,3.29,-.83,-3.1,1,7,1
50,4,3.1,1.65,-2.75,9.2,-.002,54,126,.9893,3.04, ,9.7,0,8,1
51,0,3.2,.47,.3,41.7,-.058,-160,135,.9976,1.33, ,9.4,0,9, 
52,5,13,.34,.46,4.7,.029,-244,94,1.00111,1.42,1.74,17.3,1,7,2
53,5,9.3,.14,-1.03,7.9,-.379,21,82,1.0241,3.26,-.38,13.7,1,7,2
54,1,19.3,1.75,.36,52.3,.075,63,48,1.02917,3.34,1.85,13.5,-2,9,1
55,3,5.8,.36,.5,-38.8,-.291,63,178,1.00091,3.87,.45,8.8,0,7,1
56,4,15.5,.19,.26,54,.039,30,-214,.98998,3.32, ,12.1,0,6,2
57,4,11,.23,1.42,37.8,.035, ,434,.9976,3.35,.52,9.4,0,7,4
58,0,6.6,.24,2.32,1.4,-.356,242,234,1.03659,3.11,.39,9.9,-1,7,1
59,4,-4.2,.36,.26,13.2,.051,54,201,.9976,3,1.62,10.8,1,7,1
61,4,7.5,1.43,-1.24,-4.4,.057,22,-201,.9938,.69,1.17,4.7,1,8,2
65,0,24.7,1.63,1,1.9,.846,15,100,.96939,2.28, ,4,1,14, 
66,0,8,.42,.32,2.5,.601,26,-116,.99639,3.32,1.99,15.6,0,9, 
67,4,7.1,.28,.64,-47.1,.512, ,105,.9972,3.98,-1.06,9.2,1,8,2
69,3,-4.3,-.4,.27,7.1,.049,205,321,.99579,3.16,.38,9.4,1,8,1
70,3,-3.4,.28,.35,2.1,1.197,-29,203,.95511,3.26,2.14,9.2,-1,7, 
71,1,6.8,1.94,.04,3.5,.532,25,133,1.0354,3.17,-.56,10.2,-2,7,1
72,4,15.1,.44,.22,4.3,-.992,-3,99,1.02618,3.26,.53, ,-1,7,1
73,2,16,.23,.42,-3.8,.094,49,169,.99699,3.49,.9, ,-1,7,1
74,4,6.2,.16,.26,-12.05,-.204,208,220,.99622, ,.58,10.6,0,7,2
77,3,16.9,.19,.41,-36.7,.046,51,169,.9954,3.14,1.65,9.8,-1,7,1
78,0,5.8,-.68,3.26,-11.4,.056,23,65,.99755,4.12,-.34,9.7,-2,6, 
79,0,14.6,.54,.52,8.6,.088,-124,48,.9981,2.42, ,4.2,1,9, 
80,4,7,-.06,-1.57,-41.4, ,29,-71,.99977,2.51,.49,16.7,0,8,3
81,2,-2.9,.54,.03,48.9,.094,41,110,.9982,4,.8,9.2,-1,10,1
82,1,6.3,.24,.06,1.8,.88,6,-530,.97646,4.22,-1.11,12.2,-2,7,1
84,0,16.3,.33,.49,2.5,.631,8,-297,1.01598,2.62,.82,6.3,-1,13,1
85,6,14.7,.24,.84,6.4,.048,143,-196,.9944,2.46,.55,10.5,1,7,4
86,3,-1.5,.17,.3,56,.034,33,125,.99152,3.55,.49,5.7,-1,7,3
88,3,-3.2,.2,.37, ,.535,227,625,.9738,2.27,.45, ,0,7,1
89,5,12.5,.24,-1,43.6,.043,32,156,1.03256,4.02,.07,10.1,1,7,3
90,4,6.9,2.75,.33,-16.8, ,-161,158,.99082,4.14,.58,16.9,0,7,3
91,0,7.3,-.52,-.97,-36.3,.048,-255,-779,.99044,4.04,.35,12,-1,8,1
93,4,8,-.53,1.53,13.2,.046,26,113,.9983,3.23,.37,8.4,0,9,4
94,0,10.2,-.81,.44,54.5,.045,21,-609,.9924,2.79,.46,8.9,2,8, 
95,2,8.1,-.46,-.09,3.3,.096,26, ,1.00573,3.6,1.18,18.2,0,9,1
96,1,23.6,.4,.5,1,-.354,174,489,.99013,3.66,.42,15.4,-2,7,1
97,1,6.1,-1.17,.96,18.15,.097,41,146,1.00278,3.3,-.2,11.5,-2,7,1
99,4,7,.73,-.92,8,1.185,-169,164,.97963,4.34,-.62,9,0,8,1
100,3,9.4,1.45,-1.04,1.6,.045,42,408,.99534,4.19,-1.09,6.9,0,10, 
101,5,4.2,.69,.58,-24.3,.188,104,161,.954,3.06,.41,13.1,1,9,1
102,5,17.2,.37,1.72,-54.7,.028,24,84,.9909,2.75,.18,11.7,1,7,3
103,0,7.9,.04,-.22,-9.7,.628,66,195,.99413,3.04, ,11,-1,9, 
104,4,11.8,-.88,.26,6.8,.298,36,120,.96461, ,.32,5.6,0,6, 
105,7,7.4,.19,-.65,12.8,.053,48.5,-95,.99778,4.02,1.89,2.7,2,8,3
108,5,-1.5,.43,1.58,2.4,.214,-388, ,.9994,3.24,1.77,11.2,1,11,3
109,0,6.5,.29,-.7,-3.4,.142,228,-18,.9927,3.49,1.98,9.9,1,7, 
110,4,2.9,.63,1.63, ,.327,24, ,.9917,3.19,.48,10.5,0,7,2
111,5,-3.5,.27,-1.04, , ,352,175,1.03574,3.16,.34,10.8,1,7,3
112,3,13.2,.845,.01,-25.6,.172,-117,53,1.00888,3.32,.5,11,1,9,1
114,4,-2.7,.18,.31,32.1,.216,20,210,.96244,3.84,-.21,10.8,-1,8,3
115,3,-11.7,-.83,-.43,2.4,-.137,-84, ,.992,3.25,.17,10.4,-1,6, 
116,0,12.4,.38,1.7,2,.08,-173,-207,.9961,1.03,.86, ,1,8, 
117,4,-4.5,.43,.35,21.3,.489,264,-140,.95018,3.37,.5,14.7,1,7,1
118,3,3.7,.24,.31,13.1,.05,26,180,.94955,3.05,.53,10.4,-1,8, 
119,2,15.4,-.32,.99,18.2,.044,38,-113,1.00467,3.84,.6,6.9,-1,6,1
121,0,.6,3.06,.42,-19,-.00899999999999999,3,-147,.99506,2.83,1.51,12.3,2,9, 
122,3,8.4,.785,.77,-5.5,-.541,23,431,.98981,3.85,-.65,11.1,-1,5,3
124,3,-1.3,.64,.3,2.25,-.034,8, ,.93293,2.72,.62,9.9,-1,7,1
127,4,7.2,.15,1.42,38.4,.038, ,110,1.00899,4.72,.43,12.6,0,8,2
130,0,9.1,-.2,1.73,2,.124,172,25,.99516,2.69, ,16,0,10, 
132,3,13.6,-.81,1.22,-27.8,.039,46,11,.9982,4.16,-1.22,10.6,0,8,1
133,4,-4.8,-.5,.42,37.1,.028,44,205,.97409,4.34,2.36,11.3,-1,7,2
134,1,7.5,-.42,1.75,3.85,.546,-217, ,.95709,2.05,1.91,11.8,-1,8, 
136,2,6.2,1.4,1.64,15.8,.057,39,248,1.02858,2.02,1.72,9.2,-1,7,3
137,4,-10.5,.27,1.86,-58.8,-.438,-17,338,.94096,3.24,.95,12.6333333333333,0,7,2
138,3,7.8,.13,.29,5.3,.051,-47,545,.94397,2.77,-1.25,7.4,-1,7,1
139,5,7.2,.72,.51,6.3,-.083,-156,103,.95501,3.71,1.03,11.4,0,8,2
140,3,4,1.04,.19,43.3,.05,294,174,1.01533,3.09,2.89,11.5,-1,8, 
142,3,7.4,.37,-.48,-25.6,.305,46,233,1.03005,3.06,.46,10.3,0,8,1
143,4,12.2,.19,1.1,11.2,.061,-63,-148,.97994,2.99,-.38,9.3,0,8,2
144,0,7.6,1.7,-1.03,3.4,.048,-224,116,.9944,4.25,.41,9.4,0,8,2
145,0,1.9,.47,-.86,-58.1,.174,24,37,.99514, ,.61,10.9,-1,8, 
146,0,-3,.22,1.22,-50.4,.26,36,-207,1.03038,2.62,2.1,11,-1,6, 
149,0,8.4,.39,.1,1.7,.075,-153,25,.99581,3.09,.43,9.7,-1,9, 
150,4,-5.6,.22,1.87,59.8, ,15,104,1.03646,4.23,.42,8.7,1,7,2
152,6,5.6,.03,-1.22,-7.3,0,88,-57,1.03205,3.25,1.98, ,2,6,2
153,5,19.8,.32,.33,.7,.027,488,66,1.02566,3.11,3.65,11.8,1,7,2
154,5,7.1,.21,.32,2.2,.098,28,141,.993,4.34,-1.03,10,0,8,1
155,2,13.8,.23,.42,-46.3,-.432, ,-83,.99318,3.41, ,10.6,-1,8, 
158,5,8.8,-.73,1.41,4,.595,30,69,.99787,3.47, , ,1,10,2
159,4,5.8,-.91,.1,47.2,.044,-238,63,1.02787,3.01, ,6.4,1,7,1
160,4,-.199999999999999,.16,-.69,27.6,.056,33,549,.99825,2.9,.44,6.1,-1,8,2
161,1,7.3,.38,-1.08,6.5,.271,482,102,.99304,2.85,.55,16.1,-1,8,1
162,2,5.8,.18,.21,6.6, ,50,726,.94294,3.29,.62,10,-1,6,2
163,3,3.4,.29,.38,1.2,-.65,237,-107,1.03069,3.28,.36,18.2,-1,6,2
164,4,-11,.38,.26, ,.035,167,-118,.97228,3.18,.47,13.6,-1,7, 
165,2,9,-.94,-.81,67.2,.499,58,464,.99776, ,-.21,9,-1,8,1
166,2,17.3,1.25,1.3,35.15,.031,33,631,.99296,3.92,-1.05,5.3,-2,7,2
167,4,2.1,1.65,.27,10.9,-.306,29,130,.99496,2.51,.77,2,-1,7,1
168,5,16.8,.96,.32,59.2,.419,22,251,.99072,3,.37,11.1,0,7, 
169,5,7.2,.2,1.44,46.6,.028,-136,103,.97085,2.17, ,9.2,1,8,3
170,6,15,2.01,1.18,-38.7,-.286,17,158,1.00364,2.53,.74,17.4,1,9, 
171,5,3.2,.52,.36,1.5, ,90,121,.98976,4.31,1.29,18.3,0,6,3
172,4,3.1,.25,.28,7.7,.871,402,132,1.045,1.85, ,9.4,0,7,3
173,0,11.2,1.19,-.09,2.2,.219,-172,28,.99486,3.31,.75,12.6,-1,10, 
175,2,6.6,-.93,.53, ,-.024,22,-622,1.00314,2.94,.35,9.4,-1,7, 
176,4,-2.1,.24,1.27,10.3,.18,12,-27,.96793, , ,8.1,0,9, 
177,4,-2.7,3.06,1.59,4.9,.028,25,-4,.9922,3.68,.49,16.8,-1,6,4
178,4,5.8,-.74,.15,1.1,.414,26,83,.97401,2.77,.4,11.4,0,6,2
179,0,10,.93,-.62,1.9,.08,-462,-172,1.02107,3.13,.55,9.5,1,11, 
180,4,14.6,.38,1.51,73.7,-.271,-51,137,1.01893,4.02,1.98,12.1,0,8,3
181,4,1.5,.63,.32,6.4,.034,-251,-204,.9924,3.23,-.25,11.8,0,8, 
182,2,6.6,.13,1.27,-15.1,.04,-115,179,.9955,4.23,.41,9,-1,8,2
183,0,7.5,.0649999999999999,.1,13,.228,93, ,.99741,3.1,.5,3.2,1,8,1
184,5,2.9,-.84,.27,1.6,-.336,312,98,.99299,3.29,.44,3.2,0,8,1
185,4,8.2,.34,-.95,-21,.028, ,100,.98958,3.2,1.77,13.2,-1,8, 
187,5,8.2,.53,.38,-40.3, ,-286,-275,.99062,2.88,.6,18.3,1,9,3
188,3,8.3,1.21,.34,7.8,-.399,84,-166,.97462,3.21,-.75,17.5,-1,8,1
189,4,7.2,-.72,.15, ,.012,10,-49,.99609,2.95, ,13.7,0,8,4
190,5,9.3,.19,.29,-51.1,.042,44,189,.99304,3.99,-.75,10.3,1,7,3
191,3,1.6,.33,.31,7.7,-.175,307,-21,.99226,3.11,.24,8.8,0,8,2
192,5,10.7,.63,1.18,55.6,-.399,14,-123,.99522,2.3, ,15.5,1,8,2
194,4,6.2,1.53,.32,1.1,.115,74,66,.99096,2.25,-.81,8.9,0,7, 
196,3,13.8,-.29,.36,-13.9,.447,291,-140,.96793,3.25,.63,7,-1,8, 
197,3,7.2,.16,.32,-44.9,.04,50,-150,1.0458,3.27,.96,10,-1,8,2
198,3,-.800000000000001,-.56,.42,2.3,-.139,-453,-718,.9972,4.15,-.65,10.9,-1,8,2
199,3,7.7,-2.54,.35,15.3,.638,74,148,.99628,1.9,2.02,15.3,0,8,1
200,4,.399999999999999,-.14,.04,48.4,.444,23,-30,.99228,4.43,.61,9.9,0,7,3
201,2,6.3,-2.39,-.24,1.5,-.415, ,-448,.99238,4.05,-.01,14.5,-1,7, 
202,3,-.5,.91,-2.16,88.1,.036,250,451,1.04541,3.47,-.66,9.1,-1,7, 
203,5,13.8,-1.07,.49,53.3,.342,305,161,.9937,3.01,.28,12.1,1,8,3
204,2,8.9,.27,1.26,10.7,-.432,19.5,166,.99669,3.13,.48,16.8,-1,10,2
205,4,16.2,-1.22,.26,11,.03,2,82,.99402,1.9,.36,11.2,1,7,4
206,5,-14.4,.155,1.43,-41,.025,357.5,637,.9934,3.18,.61,3.9,0,8,3
207,4,8.7,1.225,-1.47,47.2,.09,4,11,.99745,3.31,1.59, ,1,9,1
208,4,6.1,.5,.38,-19.4,.144,-10,65,1.01902,5.14,.64,11.4,0,7,3
209,7,17.8,.21,-.15, ,.034,138,118,.9917,3.3, ,11.2,1,8,4
210,3,7.4,.00999999999999998,1.42,8.4,-.251,52,571,1.03166,3.09,-1.38,8.8,0,8, 
211,0,14.6,.55,-.28, ,.149,15,-208,.9959,2.14, ,9.7,0,8, 
214,3,3.2,-.63,-.95,13.4,-.336,50,191,.9989,3.22,.53,9,1,8,1
215,0,8.6,1.695,.11,4.1,.481,-114,101,.96126,2.66,.38,12.5,0,9, 
216,0,6.6,.22,-.6,137.6,.316,39,118,.99834,3.05,1.79,9.1,0,7,1
218,0,6.6,-.86,.25,-36.9,.045,45,178,1.04206,4.26,.43,15,0,7,1
219,5,1.3,-.15,1.44,-20.8,-.321,279,87,.9936,2.17,.42,10.9,0,8,2
220,2,14.3,.99,.15,1.2,.053,61,573,1.03601,3.86,.43,9.2,-1,8,1
221,0,20.6,.24,.46,2.2,.033, ,111,1.02888, ,.25,5.4,-1,7,2
222,3,-4.4,.13,1.61,101.1,.077,121,-363,.9728,2.02,.53,4.4,0,12, 
224,0,7.8,.625,.16,2, ,132,-324,.9962,3.14,.23,11,2,9, 
225,0,7,.42,.26,-32.9,.088,79,39,1.08975,2.81,.55,9.2,-2,8, 
227,3,-2.2,.655,-1.19,48.8,-.236,138,-339,.96197,2.71,.88,5.3,1,7,3
229,7,.8,.46,1.94,-8.3,.356,41,193,.9928,3.6,.35,12.2,2,8,4
231,4,6.3,-.69,-.04,51.1,.038,59,35,1.00701,3.12,.04,9.5,0,8,2
232,3,7.6,.18,.46,46.4,.055,58,614,1.02397,3.14, ,9.9,-1,8,2
233,0,10,.35,.53,2.6,.07,-253,16,.9972,3.15,-.16,11,1,12, 
234,0,-4.1,.33,.27,1.2,-.405,34, ,.9934,3.37,1.47,9.4,1,7,1
235,4,5.6,.835,.16,141.15,.051,128,389,.99564,3.67, ,10.8,0,6,3
236,5,7.7,.34,.28,6,.242,31,359,.99815,3.27, ,9.2,1,8,3
237,4,-2.2,.79,.43,1.6,.769,31,468,.9916,4.02,.5,7.4,0,9,3
238,3,6.1,.32,-.59,8.3,.036,19,455,1.00919,4.23,.52,12.6,-1,7, 
239,3,6.3,-1.04,-.38,5.9,.448,82.5,260,1.0167,3.12,.66,15.7,0,7,1
240,0,4.7,.35,.3,58.9,-.129,156,97,1.01223,2.04,.41,11,-1,7, 
242,4,-3.3,.56,.22,9.8,.049,50,47,1.03157,3.68,-1.24,17.7,0,6,3
244,0,6.4,.25,.04,39.2,.437,-48,114,.99114,3.31,.58, ,-1,7,1
245,5,5.5,.42,1.48,-51.4,-.339,43,589,.99013,3.14,.88,18.5,1,7, 
246,3,9.3,-.01,-.44, ,.051,46,139,1.03656,3.18, ,13.2,0,7,3
247,0,8.7,.78,1.07,1.7,-.061,12,122,.99577, ,1.23,15.6,0,10, 
248,4,-2.5,.61,.28, ,.039,-73,-37,.99469,3.11,-1.28,10.9,-1,7,2
250,0,8.8,.86,.36,39.6,-.29,239,-44,.9982,3.23,.51,9.3,0,9, 
251,4,5.7,.93,-.05,6.8,.167,61,-51,1.03903,3.09,.46,15.1,1,7,2
252,3,-.6,.37,.52, ,.082,146,26,1.0565,3.22,-.79,9.5,0,10,3
253,0,18.7,-.2,.56,1.9,-.278,-64,60,1.07733,4.83,.58,8.7,1,12, 
254,4,7,.23,1.94,3.2,.775,150,-237,1.02365,3.02,1.29,13.3,0,10,2
255,4,12.3,.3,.22,-15.1,-.528, ,191,.9966,3.08,.4,9.3,0,8,3
256,4,.4,-.07,-.09,9.6,-.497,-288,143,1.00784,3.25,-1.98,20.2,-1,7,2
257,5,13.5,2.03,.28,14.7,.162,-157,353,.99792, ,.39,6.1,0,7,2
258,6,.300000000000001,.31,-.49,53.3,.036,34,114,1.03461,2.12,-.67,6.1,1,8,3
259,4,-.3,.31,.34,1.6, ,23,280,.97574,5.79,.47,11.7,0,8,2
260,0,6.8,.04,.09,25.7,.04,-350,339,1.03736,2.34,.46,16,0,7,1
261,5,.399999999999999,-.48,-.88,14.8,-.313,-96,45,.97751,3.12,.69,14.5,-1,8,2
262,3,10.4,.17,.27,1.4,.032,39,45,.99254,3.14,.67, ,0,7,3
263,4,6.6,.18,.28,41.5,.041,53,-87,.99207,3.13,.45,9.3,0,7,2
264,2,7.6,.29,1.48,35.1,.051,100,146,.9939,3.16,.39,12,-1,8,1
265,5,6.5,-.35,.65,17.6,-.124,34,-154,.9923,3.91,.47,3,1,7,2
266,3,6.9,.59,.82,38.2,.415,34,389,.99165,2.13,-1.03,12.3,-2,8, 
267,6,6.6,.18,.35,1.5,.049,104,241,1.03452,3.7,.0399999999999999,10.2,1,7,2
268,3,2.3,.38,.25,9.8,-.461, ,191,.99548,3.28, , ,0,8, 
269,3,9,.8,.12,34,.192,8,-78,1.01622,4.26,1.38,23.2,-1,10,2
270,0,1.9,.33,-.29, ,-.312, ,105,.97143,3.05, ,9.2,1,8, 
271,4,13.6,.29,-.3,1.4,.666,52,148,.98378,2.07,-1.24,9,0,8,3
272,4,7.3,1.18,.3,13,-.633,46, ,1.08993,3.72, ,7.6,0,8,1
273,3,16.9,.41,1.24,-15.2,.042,92,293,.95241,2.86,1.99,9.7,-1,8,2
274,4,14.3,-.4,1.24,-33.3,-.522,26,105,.98962,3.19,.75,12.4,-1,7,3
275,0,6,.76,1.8,3.3,.303,26,-226,.94672,2.34, ,9.5,-2,7, 
276,0,-8.2,.12,.28,-42.5,-.073,-83,19,1.01367,3.23,-.71,12,-1,7,2
277,3,19,1.48,.64,73.6,-.246,238,-388,1.01453,2.04, ,9.2,0,8,2
278,5,-3.9,.18,-.5,12.6,-.301,155,195,1,3.05,-1,10.4,-1,8,1
279,0,17.8,2.37,.66,-46.4, ,-130,-108,.95981,3.37,1.97,8,0,7,1
280,4,9.7,1.35,1.54,-11.7,-.098,-26,-160,.9891,3.03,-.55,13.3,0,7,1
282,4,6.5,1.74,.19,-33.6, ,196,530,.99364,3.34,.72,10.1,0,7,3
283,3,5.5,.24,.11,1.7,.046,-206,113,.99224,3.22,.48,10,0,6,2
284,7,6.8,.18,.3,12.8,.062,-236,-229,1.01817,2.85,2.25,8.9,2,7,3
285,3,6.6,1.01,.02,2.1,-.068,-382,16,.95273,2.2, ,9.5,0,7, 
286,4,6.7,.96,1.07,1.4,.025,-200,76,.98398,1.63,.44,11,0,7,3
287,3,5.1,2.68,2.06,1.1,.564,-381, ,.99445,3.15,1.84,13.7,0,7, 
289,0,6.8,2.01,.91,-7.7,.645,110,-374,1.0395,3.46,.72,10.2,0,7, 
290,2,9.8,.44,.42,2.8,-.134,35,167,1.01102,3.12,.39, ,-1,11, 
291,4,6.8,.27,.31,-24.6,-.194,259,170,1.01824,4.17,.66,14.2,0,7, 
292,0,9.9,.08,1.25,2.2,-.527,-50,26,.95523,2.42,.78,12.5,0,11, 
293,0,6.2,.3,.3,23.9,.041,29,82,.89652,3.31, ,18.2,0,7, 
296,0,-3.6,.22,.21,-24.7,.588,-244,-47,.98675,3.1,.55,17.4,0,8, 
297,4,7.6,.7,.38,1.9,-.06,-252,188,.98962,3.18,-.94,12.4,0,7,3
298,0,7,.33,-2.08,-56,.04,176,-227,.9828,4.21,1.88,11,-2,8,1
299,6,5.8,-.87,.3,42,.024,45,159,1.03792,2.95,2.05,13.7,1,6,4
301,5,4.1,-.42,.3,6.1,1.214,45,-107,.94727,1.88,.83,9.9,1,8,3
304,4,11.2,.85,.62,-9.5,.036,56,153,.9978,4.35,1.13,6.8,0,9,3
305,3,-1.4,.25,1.83,-45.4,.049,145,-113,.99154,3.17,.48,13.4,-1,8,2
306,7,-2.2,.48,1.06,1.8,.034,62,132,.991,3.68,-1.94,12.6,1,8,4
307,2,.3,.21,.28,7.5,.07,80,-273,1.0955,2.87,1.03,9.4,-1,7, 
309,0,-.7,.18,1.16,10.3,-.52,-170, ,.96348,2.77,2.03,10.6,1,7, 
310,2,1.4,1.64,1.97,75.6,-.124,6,561,.96292,2.94,.44,9.1,-1,8,2
311,2,3.2,-.27,.52,-12.1,-.13,12,276,.9969,3.25,2.3,7.6,-1,10,2
312,6,9.2,-1,.46,6.3,.032,-45,121,.99214,2.21,1.52,5.5,1,7,4
313,0,9.4,.37,.3,-57.5,.04,49,139,.99021,3.44,1.88,19.2,-1,8,1
314,2,6.3,.18,.36,64.8,.034,161,531,.99074,3.16, ,11,-2,7, 
315,3,-4.2,.32,1.7,60.7,-.551,267,180,.99463,3.27,1.21,11.3,-1,8,3
316,3,10.7,.28,.35,28.9,.054,-374,273,.99178,4.2, ,10.7,0,8,2
317,4,5.7,1.08,.6,53.5,.064,296,-147.5,1.0439,3.68, ,10.3,1,7,3
318,3,5.7,.77,.12,2.9,.082,157,74,.971,2.03,.64,10.4,-1,10,2
321,7,11.4,-.65,3.09,70.6,.421,-171,150,.995,2.45,.78,17.9,1,8,3
322,4,6.7,-.82,1.11,12.5,.035,199,-246,.98535,2.88,1.65,5.2,0,7,2
323,5,14.6,.51,1, ,.037,-120,467,1.01275,3.1,1.62,7.8,1,9,2
325,4,11.2,.14,.33,-44.7,.104,116,494,.99057,2.99,1.47,20.9,0,8,3
326,6,7.8,.33,.62, ,.038,46,132,1.01853,3.23,.43,13.4,1,8,3
327,4,6,-1.12,.52,51.8,.816,63,515,.99494,3.1,-1.26,9,0,7,1
328,2,6.3,.24,.55,-46.2,-.202,468,216,.99931,2.9,-.94,2.8,-1,7, 
329,0,12,1.93,-.05,42,-.095,154,117,.94651,3.27,1.51,4.6,1,10, 
330,3,6,-1.18,.22,12.15,.116,42,163,.9957,3.2,.46,10.1,0,7,3
332,3,5.4,.7,.29,46.5,.499,256,145,1.02159,3.68,.46,10.3,0,6,3
333,4,6.9,.25,.35,43.5,.034,32,150,.9947,3.21,.36,11.5,0,8,3
334,0,6,.68,-1.28,1.8,.087,117,94,.9944,4.11,.52,10,-2,7, 
335,4,6.1,.12,1.41,52.9,.046,39,-8,1.04495,2.36,-1.21,10.6,0,7,2
336,0,10,-.33,-.41,-31,-.242,119,77,1.0447,3.16,.69,11.7,1,11, 
337,4,6,.76,1.05,-10.4,.092,15,54,1.00157,3.78,-.97,5.3,1,9,2
338,6,7,-.64,1.86,-24.5,-1.147,41,23,1.02574,3.84,.37,13.5,1,8,4
339,3,7,.23,-1.19,-53,.157,-57,92,.99372,2.45,-1.49,9.3,0,8,2
340,3,7.7,1.63,.8,5.2,.076,19,-338,.99138,2.95,.11,6.6,-1,9,2
341,5,11.2,-1.1,-.32,-45.9,.028,-74,-275,.99484,3.13,1.77,10.9,-1,7,2
342,4,7.4,.26,-1.22,32.2,.332,22,115,.9928,4.31,.55,17.9,0,8,3
344,4,6.5,.19,.34,62.7,-.279,265,116,.99362,3.21,.68,19.3,0,7,3
345,0,6,.03,.13,1.2,.452,60,-520,.99114,3.94,.22,10.6,0,7,1
346,0,10.4,.06,.78,66.4,.293,6,10,1.0055,3.9,.65,11.8,1,11, 
349,0,8.2,.61,.49,2.3,.099,27,-287,.97962,3.38, ,15.1,0,9, 
351,5,7.5,.46,.28,9.6,.051,-4,157,1.03846,3.55, ,11.9,1,8,2
352,0,20.4,.35,.3,-70,.299,-43,267,.96256,2.66,1.34,11,-1,7, 
353,4,5.7,3.18,.26,12.5,.049,-122.5,120,.95985,2.81,1.01,3.9,0,6,2
354,3,5.4,.34,-.15,4,.064,-30,83,.9984,2.68,1.36,10.2,0,10, 
355,4,4.3,.26,.29,56.7,-.623,40,179,.99479,3.8,.56,13.7,0,7,3
